ID,Ticker,Date,Type,Shares,Price,TotalAmount
tr_aal_1784256809427_0,AAL,"Jul 19, 2020",BUY,9,11.51,103.59
tr_abev_1784257272637_0,ABEV,"Aug 30, 2020",BUY,43,2.28,98.04
tr_aci_1784257379572_0,ACI,"Aug 12, 2021",SELL,3,30,90
tr_aci_1784257379572_1,ACI,"Sep 13, 2020",BUY,4,13.72,54.88
tr_adam_1784259614007_0,ADAM,"Aug 03, 2023",BUY,10,9.25,92.5
tr_adam_1784259614007_1,ADAM,"Mar 16, 2023",BUY,7,12.197,85.38
tr_ahexy_1784259794456_0,AHEXY,"Jun 01, 2022",BUY,5,19.17,95.85
tr_aht_1784259803705_0,AHT,"Dec 18, 2023",BUY,1,18.2,18.2
tr_aht_1784259803705_1,AHT,"Sep 22, 2023",BUY,0.9,22.5,20.25
tr_aht_1784259803705_2,AHT,"Jun 03, 2021",SELL,0.1,312.5,31.25
tr_aht_1784259803705_3,AHT,"Apr 08, 2021",BUY,0.5,312.5,156.25
tr_aht_1784259803705_4,AHT,"Dec 28, 2020",BUY,0.7,312.5,218.75
tr_aflyy_1784260065272_0,AFLYY,"Oct 23, 2025",BUY,26,1.33,34.58
tr_aflyy_1784260065272_1,AFLYY,"Jul 30, 2020",BUY,24,4.17,100.08
tr_aiot_1784260073632_0,AIOT,"Dec 26, 2024",SELL,13,7.105,92.37
tr_aiot_1784260073632_1,AIOT,"Mar 27, 2024",SELL,10,5,50
tr_aiot_1784260073632_2,AIOT,"Aug 10, 2023",BUY,20,2,40
tr_aiot_1784260073632_3,AIOT,"Mar 29, 2022",BUY,30,3,90
tr_alkt_1784260083273_0,ALKT,"Jun 18, 2026",BUY,10,14.8,148
tr_alto_1784260092851_0,ALTO,"Oct 31, 2023",SELL,12,4.2,50.4
tr_alto_1784260092851_1,ALTO,"Mar 10, 2023",BUY,24,2,48
tr_alto_1784260092851_2,ALTO,"Jan 01, 2021",BUY,16,6.08,97.28
tr_amrn_1784260521702_0,AMRN,"Aug 15, 2023",BUY,2,19.8,39.6
tr_amrn_1784260521702_1,AMRN,"Dec 28, 2020",BUY,0.5,80,40
tr_api_1784260101784_0,API,"Feb 05, 2021",SELL,1,95,95
tr_api_1784260101784_1,API,"Dec 29, 2020",BUY,2,40,80
tr_ari_1784260111381_0,ARI,"Sep 26, 2022",BUY,10,9.5,95
tr_arry_1784260119538_0,ARRY,"Aug 31, 2023",SELL,4,25.05,100.2
tr_arry_1784260119538_1,ARRY,"Aug 09, 2023",SELL,4,22,88
tr_arry_1784260119538_2,ARRY,"Apr 21, 2022",BUY,11,8,88
tr_arry_1784260119538_3,ARRY,"May 13, 2021",BUY,6,16,96
tr_arry_1784260119538_4,ARRY,"Mar 18, 2021",BUY,3,31.2,93.6
tr_asx_1784260129632_0,ASX,"May 13, 2026",SELL,1,35.01,35.01
tr_asx_1784260129632_1,ASX,"Feb 25, 2026",SELL,2,25.19,50.38
tr_asx_1784260129632_2,ASX,"Feb 06, 2026",SELL,5,20.5,102.5
tr_asx_1784260129632_3,ASX,"Oct 29, 2025",SELL,5,14.4,72
tr_asx_1784260129632_4,ASX,"May 23, 2024",SELL,15,11.25,168.75
tr_asx_1784260129632_5,ASX,"Jun 16, 2022",BUY,15,6.47,97.05
tr_asx_1784260129632_6,ASX,"Apr 29, 2022",BUY,15,6.601,99.02
tr_axia_1784260139387_0,AXIA,"Dec 04, 2025",SELL,8,12.51,100.08
tr_axia_1784260139387_1,AXIA,"Nov 04, 2022",SELL,20,10.23,204.6
tr_axia_1784260139387_2,AXIA,"Feb 22, 2021",BUY,20,4.801,96.02
tr_axia_1784260139387_3,AXIA,"Feb 04, 2021",BUY,20,5.67,113.4
